Item No.,Item Description,In Stock,FOREIGN NAME,Pair Size,No of pairs,SALES UOM,PURCHASE UOM,INVENTORY UOM,MRP,Product Type,Last Purchase Price,HSN/Commodity Code,VAT Commodity Group Code
2-FB-3290Z-TA-X2,FG MC-Fortune Kinaloor-3290Z-Tan-Giants-10X12-Export,0,Footwear-Pride-3290Z-Tan-Giants-10X12-Export,,12,CASE,No,CASE,339,Covering,"1,808.47",,FG
2-FB-3290Z-WT-G1,FG MC-Fortune Kinaloor-3290Z-White-Gents-6X10-Export,0,Footwear-Pride-3290Z-White-Gents-6X10-Export,,12,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290ZX-BR-G2,FG MC-Fortune Kinaloor-3290ZX-Brown-Gents-7X10,0,Footwear-Pride-3290ZX-Brown-Gents-7X10,,12,CASE,No,CASE,0,Covering,0,,FG
2-FB-8125-NB-L1,FG MC-Fortune Kinaloor-8125-Navy Blue-Ladies-5X9,98,Footwear-Pride-8125-Navy Blue-Ladies-5X9,,30,CASE,No,CASE,249,Covering,"3,333.42",6402.99.90,FG
2-FB-8125-NB-L2,FG MC-Fortune Kinaloor-8125-Navy Blue-Ladies-5X8,60,Footwear-Pride-8125-Navy Blue-Ladies-5X8,,30,CASE,No,CASE,249,Covering,"3,275.04",6402.99.90,FG
2-FB-8125-NB-L4,FG MC-Fortune Kinaloor-8125-Navy Blue-Ladies-7X9,0,Footwear-Pride-8125-Navy Blue-Ladies-7X9,,30,CASE,No,CASE,249,Covering,"2,992.30",6402.99.90,FG
2-FB-8125-NB-L5,FG MC-Fortune Kinaloor-8125-Navy Blue-Ladies-6X9,122,Footwear-Pride-8125-Navy Blue-Ladies-6X9,,30,CASE,No,CASE,249,Covering,"3,341.90",6402.99.90,FG
2-FB-8125-NB-L8,FG MC-Fortune Kinaloor-8125-Navy Blue-Ladies-5X7,163,Footwear-Pride-8125-Navy Blue-Ladies-5X7,,30,CASE,No,CASE,249,Covering,"3,207.58",6402.99.90,FG
2-FB-8125X-NB-L1,FG MC-Fortune Kinaloor-8125X-Navy Blue-Ladies-5X9,0,Footwear-Pride-8125X-Navy Blue-Ladies-5X9,,30,CASE,No,CASE,239,Covering,"3,190.97",,FG
2-FB-8125X-NB-L2,FG MC-Fortune Kinaloor-8125X-Navy Blue-Ladies-5X8,0,Footwear-Pride-8125X-Navy Blue-Ladies-5X8,,30,CASE,No,CASE,239,Covering,"3,128.85",,FG
2-FB-8125X-NB-L5,FG MC-Fortune Kinaloor-8125X-Navy Blue-Ladies-6X9,119,Footwear-Pride-8125X-Navy Blue-Ladies-6X9,,30,CASE,No,CASE,239,Covering,"3,228.56",,FG
2-FB-8125X-NB-L8,FG MC-Fortune Kinaloor-8125X-Navy Blue-Ladies-5X7,0,Footwear-Pride-8125X-Navy Blue-Ladies-5X7,,30,CASE,No,CASE,239,Covering,"3,111.88",,FG
2-FB-8125Z-NB-L1,FG MC-Fortune Kinaloor-8125Z-Navy Blue-Ladies-5X9-Export,0,Footwear-PRIDE-8125Z-Navy Blue-Ladies-5X9-Export,,12,CASE,No,CASE,0,COVERING,"1,327.62",,FG
2-FB-8125Z-NB-L1-P30,FG MC-Fortune Kinaloor-8125Z-Navy Blue-Ladies-5X9-Export-P30,0,Footwear-PRIDE-8125Z-Navy Blue-Ladies-5X9-Export-P30,,30,CASE,No,CASE,0,COVERING,"1,353.48",,FG
3-FB-3290-BK-G06,FG SC-Fortune Kinaloor-3290-Black-Gents-06,36,Footwear-Pride-3290-Black-Gents-06,6,1,PAIR,No,PAIR,0,Covering,124.77,,SF
3-FB-3290-BK-G07,FG SC-Fortune Kinaloor-3290-Black-Gents-07,47,Footwear-Pride-3290-Black-Gents-07,7,1,PAIR,No,PAIR,0,Covering,128.77,,SF
3-FB-3290-BK-G08,FG SC-Fortune Kinaloor-3290-Black-Gents-08,109,Footwear-Pride-3290-Black-Gents-08,8,1,PAIR,No,PAIR,0,Covering,130.32,,SF
3-FB-3290-BK-G09,FG SC-Fortune Kinaloor-3290-Black-Gents-09,135,Footwear-Pride-3290-Black-Gents-09,9,1,PAIR,No,PAIR,0,Covering,134.03,,SF
3-FB-3290-BK-G10,FG SC-Fortune Kinaloor-3290-Black-Gents-10,111,Footwear-Pride-3290-Black-Gents-10,10,1,PAIR,No,PAIR,0,Covering,137.06,,SF
3-FB-3290-BK-X11,FG SC-Fortune Kinaloor-3290-Black-Giants-11,56,Footwear-Pride-3290-Black-Giants-11,11,1,PAIR,No,PAIR,0,Covering,153.71,,SF
